id,title,series,author,rating_count,review_count,pages,date_published,first_published,genre,publisher,isbn,language,awards,isbn10,rating
662,Atlas Shrugged,,Ayn Rand,"385,405","19,756",1168,"August 1, 1999","October 10, 1957","Fiction, Classics, Philosophy, Politics, Literature, Science Fiction, Novels, Dystopia, Economics, Audiobook",Plume,9780452011878,English,,0452011876,3.69
6,Harry Potter and the Goblet of Fire,Harry Potter #4,J.K. Rowling,"3,534,609","65,721",734,"September 28, 2002","July 8, 2000","Young Adult, Fiction, Magic, Childrens, Middle Grade, Audiobook, Adventure, Classics, Science Fiction Fantasy, Novels",Scholastic,,English,"Hugo Award for Best Novel (2001), Mythopoeic Fantasy Award for Children's Literature (2008), Publieksprijs voor het Nederlandse Boek (2001), Audie Award for Solo Narration - Male (2001), West Australian Young Readers' Book Award (WAYRBA) for Younger Readers (2001), Golden Archer Award for Middle/Junior High (2002), Indian Paintbrush Book Award (2002), Deutscher Buchpreis (German Book Prize) for Publikumspreis, Corine Internationaler Buchpreis for Kinder- und Jugendbuch (2001)",,4.56
33648131,The Notebook,The Notebook #1,Nicholas Sparks,"1,633,905","24,454",227,"December 1, 2016","October 1, 1996","Romance, Fiction, Chick Lit, Contemporary, Adult, Classics, Adult Fiction, Contemporary Romance, Love, Drama",Grand Central Publishing,,English,,,4.14
99107,Winnie-the-Pooh,Winnie-the-Pooh #1,A.A. Milne,"320,244","6,777",161,"October 1, 2001","October 14, 1926","Childrens, Fiction, Classics, Fantasy, Animals, Middle Grade, Audiobook, Picture Books, Young Adult, Juvenile",Dutton Juvenile,9780525467564,English,,0525467564,4.35
4381,Fahrenheit 451,,Ray Bradbury,"2,308,682","70,063",158,,"October 19, 1953","Classics, Fiction, Science Fiction, Dystopia, School, Literature, Novels",,,,,,3.97
1,Harry Potter and the Half-Blood Prince,Harry Potter #6,J.K. Rowling,"3,155,655","54,862",652,"September 16, 2006","July 16, 2005","Fantasy, Young Adult, Fiction, Magic, Childrens, Audiobook, Adventure, Middle Grade, Classics, Science Fiction Fantasy",Scholastic Inc,,English,,,4.58
153747,"Moby-Dick or, The Whale",,Herman Melville,"547,263","21,674",654,"February 21, 2003","October 18, 1851","Classics, Fiction, Literature, Adventure, Historical Fiction, Novels, American, 19th Century, Classic Literature, Audiobook",Penguin Classics,9780142437247,English,,0142437247,3.54
4473,A Prayer for Owen Meany,,John Irving,"316,248","16,039",637,"January 1, 1990","March 28, 1989","Fiction, Classics, Contemporary, Literature, Literary Fiction, Novels, Historical Fiction, Coming Of Age, Adult Fiction, American",Black Swan,9780552135399,English,,0552135399,4.24
7171637,Clockwork Angel,The Infernal Devices #1,Cassandra Clare,"814,320","41,177",479,"August 31, 2010","August 31, 2010","Fantasy, Young Adult, Romance, Paranormal, Steampunk, Historical Fiction, Fiction, Urban Fantasy, Vampires, Young Adult Fantasy",Margaret K. McElderry Books,9781416975861,English,"RITA Award by Romance Writers of America Nominee for Young Adult Romance (2011), Romantic Times Reviewers' Choice Award (RT Award) Nominee for Best Young Adult Paranormal/Fantasy Novel (2010), The Inky Awards for Silver Inky (2011), Lincoln Award Nominee (2013), Goodreads Choice Award Nominee for Young Adult Fantasy and for Favorite Book and for Goodreads Author (2010), The Inky Awards Shortlist for Silver Inky (2011), Oklahoma Sequoyah Award for High School (2013), Premio El Templo de las Mil Puertas for Mejor novela extranjera perteneciente a saga (2010)",1416975861,4.31
49552,The Stranger,,Albert Camus,"1,026,055","44,540",159,"March 28, 1989","May 19, 1942","Classics, Fiction, Philosophy, France, Literature, Novels, French Literature, School, Literary Fiction, 20th Century",Vintage International,,English,,,4.02
