id,title,link,series,author,rating_count,review_count,pages,score,date_published,first_published,genre,publisher,isbn,language,awards,isbn10,rating

47989,Night Watch,https://www.goodreads.com/book/show/47989.Night_Watch,Discworld #29,Terry Pratchett,"108,906","3,001",480,"12,872","November 21, 2011","January 1, 2002","Fantasy, Fiction, Humor, Comedy, Time Travel, Science Fiction Fantasy, Audiobook, Science Fiction, Novels, High Fantasy",Corgi,9780552154307,English,,055215430X,4.49

123175195,Miracle,https://www.goodreads.com/book/show/123175195-miracle,,Johnathon Nicolaou,191,22,309,"12,844","March 24, 2023","Published March 24, 2023",,JN Creations,,English,,,4.52

77197,Assassin's Apprentice,https://www.goodreads.com/book/show/77197.Assassin_s_Apprentice,The Farseer Trilogy #1,Robin Hobb,"311,182","15,860",435,"12,842","March 1, 1996","May 1, 1995","Fantasy, Fiction, High Fantasy, Epic Fantasy, Adult, Magic, Science Fiction Fantasy, Adventure, Audiobook, Young Adult",Spectra Books,9780553573398,English,,055357339X,4.18

57891,Battle Royale,https://www.goodreads.com/book/show/57891.Battle_Royale,,Koushun Takami,"73,096","7,624",624,"12,815","February 26, 2003","April 21, 1999","Horror, Fiction, Dystopia, Science Fiction, Thriller, Young Adult, Japan, Japanese Literature, Fantasy, Novels","VIZ, LLC",9781569317785,English,,156931778X,4.25

2203,John Adams,https://www.goodreads.com/book/show/2203.John_Adams,,David McCullough,"357,217","7,116",751,"12,803","May 22, 2001","May 1, 2001","History, Biography, Nonfiction, American History, Presidents, Politics, Historical, Biography Memoir, American Revolution, Audiobook",Simon & Schuster Paperbacks,9780743223133,English,,0743223136,4.07

10569,On Writing: A Memoir of the Craft,https://www.goodreads.com/book/show/10569.On_Writing,,Stephen King,"279,678","22,875",320,"12,798","July 1, 2002","January 1, 2000","Nonfiction, Writing, Memoir, Biography, Audiobook, Reference, Autobiography, Biography Memoir, Self Help, Books About Books",Pocket Books,9780743455961,English,,0743455967,4.33

32423,Watchers,https://www.goodreads.com/book/show/32423.Watchers,,Dean Koontz,"162,688","4,907",624,"12,772","January 28, 2003","January 1, 1987","Horror, Fiction, Thriller, Science Fiction, Mystery, Suspense, Fantasy, Mystery Thriller, Dogs, Paranormal",Berkley,,English,,,4.18

1923820,The Holy Bible: King James Version,https://www.goodreads.com/book/show/1923820.The_Holy_Bible,,Anonymous,"281,401","8,215",1590,"12,739","January 15, 2008","January 1, 1569","Religion, Nonfiction, Christian, Philosophy, Christianity, History, Reference, Spirituality, Theology, Classics",,,English,,,4.43

9014,The Long Walk,https://www.goodreads.com/book/show/9014.The_Long_Walk,,Richard Bachman,"176,022","11,418",370,"12,736",,"January 1, 1979","Horror, Fiction, Dystopia, Thriller, Science Fiction, Fantasy, Audiobook",,,,,,4.09

19547856,Simon vs. the Homo Sapiens Agenda,https://www.goodreads.com/book/show/19547856-simon-vs-the-homo-sapiens-agenda,Creekwood #1,Becky Albertalli,"420,028","37,527",303,"12,720","April 7, 2015","April 7, 2015","Young Adult, Romance, LGBT, Contemporary, Fiction, Queer, Audiobook, Realistic Fiction, Coming Of Age, Gay",Balzer + Bray,9780062348678,English,"National Book Award Nominee for Young People's Literature (2015), William C. Morris YA Debut Award (2016), Pennsylvania Young Readers' Choice Award Nominee for Young Adults (2017), Evergreen Teen Book Award Nominee (2018), Milwaukee County Teen Book Award (2016), Lambda Literary Award Nominee for Children's/Young Adult (2015), Deutscher Jugendliteraturpreis for Preis der Jugendjury (2017), Lincoln Award Nominee (2017), Goodreads Choice Award Nominee for Debut Goodreads Author, and for Young Adult Fiction (2015), Green Mountain Book Award (2017), Hea Noorteraamat (2017)",0062348671,4.17

13831,Alanna: The First Adventure,https://www.goodreads.com/book/show/13831.Alanna,Song of the Lioness #1,Tamora Pierce,"128,543","5,941",274,"12,702","January 1, 2005","September 1, 1983","Fantasy, Young Adult, Fiction, Magic, Adventure, Young Adult Fantasy, Middle Grade, High Fantasy, Childrens, Teen",Simon Pulse,9780689878558,English,,0689878559,4.27

38311414,House of Sand and Fog,https://www.goodreads.com/book/show/38311414-house-of-sand-and-fog,,Andre Dubus III,"132,044","4,576",384,"12,701","October 2, 2018","January 1, 1999","Fiction, Contemporary, Literary Fiction, Novels, Adult Fiction, Literature, Book Club, Adult, Suspense, Drama",W. W. Norton & Company,9780393356342,English,,0393356345,3.86

10967,The Fiery Cross,https://www.goodreads.com/book/show/10967.The_Fiery_Cross,Outlander #5,Diana Gabaldon,"205,959","8,665",1443,"12,700","August 30, 2005","November 6, 2001","Historical Fiction, Romance, Fantasy, Fiction, Time Travel, Historical, Historical Romance, Audiobook, Adult, Adventure",Dell,9780440221661,English,,0440221668,4.25

41219,Possession,https://www.goodreads.com/book/show/41219.Possession,,A.S. Byatt,"79,125","5,140",555,"12,691","October 1, 1991","January 1, 1990","Fiction, Historical Fiction, Romance, Classics, Mystery, Literary Fiction, Historical, Literature, Novels, Poetry",Vintage,9780679735908,English,,0679735909,3.89

150184023,Of Monsters And Planes,https://www.goodreads.com/book/show/150184023-of-monsters-and-planes,,Johnathon Nicolaou,188,16,Paperback,"12,671","May 25, 2023","Published May 25, 2023",Science Fiction,JN Creations,,English,,,4.61

78433,The Blind Assassin,https://www.goodreads.com/book/show/78433.The_Blind_Assassin,,Margaret Atwood,"153,355","9,361",637,"12,654","September 3, 2001","September 1, 2000","Fiction, Historical Fiction, Mystery, Canada, Literary Fiction, Classics, Contemporary, Literature, Historical, Science Fiction",Virago Press Ltd,,English,,,3.96

24768,Pretties,https://www.goodreads.com/book/show/24768.Pretties,Uglies #2,Scott Westerfeld,"257,705","11,152",370,"12,636","November 1, 2005","November 1, 2005","Young Adult, Dystopia, Science Fiction, Fiction, Fantasy, Romance, Teen, Adventure, Post Apocalyptic, Science Fiction Fantasy",Simon Pulse,9780689865398,English,,0689865392,3.84

