id,title,link,series,author,rating_count,review_count,pages,score,date_published,first_published,genre,publisher,isbn,language,awards,isbn10,rating
94813,Dark Guardian,https://www.goodreads.com/book/show/94813.Dark_Guardian,Dark #8,Christine Feehan,"22,183",508,369,371,"April 24, 2002","April 24, 2002","Paranormal Romance, Romance, Paranormal, Vampires, Fantasy, Dark, Fiction, Urban Fantasy, Adult, Supernatural",Leisure Books,9780843949940,English,,0843949945,4.35
2068,Darwin's Dangerous Idea: Evolution and the Meanings of Life,https://www.goodreads.com/book/show/2068.Darwin_s_Dangerous_Idea,,Daniel C. Dennett,"16,314",345,588,371,"June 12, 1996","May 10, 1995","Science, Philosophy, Nonfiction, Evolution, Biology, History, Psychology, Religion, Atheism, Popular Science",Simon & Schuster,9780684824710,English,,068482471X,4.06
11418574,Before I Wake,https://www.goodreads.com/book/show/11418574-before-i-wake,Soul Screamers #6,Rachel Vincent,"12,044",881,339,371,"June 26, 2012","June 26, 2012","Young Adult, Paranormal, Fantasy, Romance, Urban Fantasy, Demons, Paranormal Romance, Supernatural, Fiction, Ghosts",Harlequin Teen,9780373210619,English,,0373210612,4.27
41335,Magnificat,https://www.goodreads.com/book/show/41335.Magnificat,Galactic Milieu Trilogy #3,Julian May,"3,523",72,432,371,"June 29, 1997","January 1, 1995","Science Fiction, Fantasy, Fiction, Science Fiction Fantasy, Space Opera, Speculative Fiction, Sci Fi Fantasy, Collections, Paranormal, Metaphysics",Del Rey,9780345362490,English,,0345362497,4.24
1169859,Jack the Bodiless,https://www.goodreads.com/book/show/1169859.Jack_the_Bodiless,Galactic Milieu Trilogy #1,Julian May,"4,389",111,480,371,"October 4, 1993","January 1, 1991","Science Fiction, Fantasy, Fiction, Science Fiction Fantasy, Space Opera, Speculative Fiction, Space, Collections, Paranormal, Mystery",Del Rey,9780345362476,English,,0345362470,4.19
653711,Crystal Singer,https://www.goodreads.com/book/show/653711.Crystal_Singer,Crystal Singer #1,Anne McCaffrey,"20,773",602,311,371,"August 12, 1982","February 1, 1982","Science Fiction, Fantasy, Fiction, Science Fiction Fantasy, Romance, Space Opera, Adventure, Space, Adult, Music",Del Rey Books,9780345327864,English,,0345327861,4.13
15721334,Negeri Para Bedebah,https://www.goodreads.com/book/show/15721334-negeri-para-bedebah,Negeri Para Bedebah #1,Tere Liye,"9,901","1,107",440,371,"July 1, 2012","July 1, 2012","Fiction, Novels, Action, Indonesian Literature, Thriller, Crime, Adventure, Politics, Young Adult, Mystery",Gramedia Pustaka Utama,9789792285529,Indonesian,,9792285520,4.35
44905,Writing Down the Bones: Freeing the Writer Within,https://www.goodreads.com/book/show/44905.Writing_Down_the_Bones,,Natalie Goldberg,"29,456","2,333",336,371,"January 10, 2006","October 12, 1986","Writing, Nonfiction, Reference, Self Help, Memoir, Poetry, Crafts, Art, How To, Spirituality",Shambhala Publications,9781590303160,English,,1590303164,4.21
51072,Adrian Mole and the Weapons of Mass Destruction,https://www.goodreads.com/book/show/51072.Adrian_Mole_and_the_Weapons_of_Mass_Destruction,Adrian Mole #6,Sue Townsend,"6,585",309,332,371,"November 1, 2006","January 1, 2004","Fiction, Humor, Young Adult, Comedy, Contemporary, British Literature, Novels, Diary, Childrens, 21st Century",Soho Press,9781569474389,English,,1569474389,3.93
22021942,Torture to Her Soul,https://www.goodreads.com/book/show/22021942-torture-to-her-soul,Monster in His Eyes #2,J.M. Darhower,"21,148","1,790",394,371,"September 29, 2014","September 26, 2014","Romance, Dark, Contemporary, Contemporary Romance, New Adult, Adult, Erotica, Crime, Suspense, College",,,English,,,4.14
